application_num,decision_date,fuel_amount_clean,fuel_type_clean_EN,lon,lat,Origin,dest_lon,dest_lat,Destination,exporter_proxy,importer_proxy
127,4/29/2019,7172,Mazout,56.346218,25.144190,"Fujairah, UAE",43.752860,13.526220,"Hodeida, Yemen",A,7
128,,2600,Petrol,56.752079,24.325871,"Sohar, Oman",44.201960,15.361980,"Nishtun, Yemen",O,5
13,11/21/2018,6400,Diesel,,,,49.123680,14.543720,"Mukalla, Yemen",,5
130,5/1/2019,20474,Petrol,56.346218,25.144190,"Fujairah, UAE",43.752860,13.526220,"Hodeida, Yemen",Z,9
131,4/24/2019,11394,Diesel,56.346218,25.144190,"Fujairah, UAE",43.752860,13.526220,"Hodeida, Yemen",P,20
132,5/2/2019,33993,Diesel,37.782050,44.736010,"Novorossiysk, Russia",45.035469,12.809800,"Aden, Yemen",K,2
133,5/10/2019,11505,Diesel,56.346218,25.144190,"Fujairah, UAE",43.752860,13.526220,"Hodeida, Yemen",A,7
134,5/6/2019,2500,Diesel,56.752079,24.325871,"Sohar, Oman",44.201960,15.361980,"Nishtun, Yemen",O,5
135,5/6/2019,2000,Diesel,55.420933,25.346254,"Sharjah, UAE",44.201960,15.361980,"Nishtun, Yemen",O,5
137,5/9/2019,9207,Diesel,56.346218,25.144190,"Fujairah, UAE",49.123680,14.543720,"Mukalla, Yemen",L,27
138,5/15/2019,15028,Petrol,56.752079,24.325871,"Sohar, Oman",43.752860,13.526220,"Hodeida, Yemen",T,24
139,5/15/2019,4150,Mazout,55.420933,25.346254,"Sharjah, UAE",49.123680,14.543720,"Mukalla, Yemen",C,32
14,11/25/2018,24101,Petrol,,,,43.752860,13.526220,"Hodeida, Yemen",,24
140,5/15/2019,3272,Diesel,55.420933,25.346254,"Sharjah, UAE",49.123680,14.543720,"Mukalla, Yemen",C,32
141,5/15/2019,3951,Diesel,55.420933,25.346254,"Sharjah, UAE",44.201960,15.361980,"Nishtun, Yemen",J,29
142,5/17/2019,42369,Diesel,,,,45.035469,12.809800,"Aden, Yemen",K,2
143,5/18/2019,57493,Petrol,56.752079,24.325871,"Sohar, Oman",45.035469,12.809800,"Aden, Yemen",K,2
144,5/18/2019,2300,Diesel,55.420933,25.346254,"Sharjah, UAE",44.201960,15.361980,"Nishtun, Yemen",O,5
145,5/19/2019,2150,Diesel,55.420933,25.346254,"Sharjah, UAE",44.201960,15.361980,"Nishtun, Yemen",O,5
146,5/21/2019,4761,Petrol,56.752079,24.325871,"Sohar, Oman",44.201960,15.361980,"Nishtun, Yemen",J,29
147,5/21/2019,42991,Diesel,55.302551,25.257111,"Al Hamriya, UAE",45.035469,12.809800,"Aden, Yemen",K,2
148,5/23/2019,9715,Petrol,56.346218,25.144190,"Fujairah, UAE",49.123680,14.543720,"Mukalla, Yemen",V,3
149,5/23/2019,7001,Mazout,56.346218,25.144190,"Fujairah, UAE",43.752860,13.526220,"Hodeida, Yemen",A,7
15,11/30/2018,9967,Diesel,,,,49.123680,14.543720,"Mukalla, Yemen",,3
150,5/24/2019,27580,Petrol,55.302551,25.257111,"Al Hamriya, UAE",43.752860,13.526220,"Hodeida, Yemen",E,11
151,5/26/2019,29370,Diesel,55.420933,25.346254,"Sharjah, UAE",43.752860,13.526220,"Hodeida, Yemen",T,24
152,5/27/2019,9968,Diesel,56.346218,25.144190,"Fujairah, UAE",43.752860,13.526220,"Hodeida, Yemen",P,20
152,5/27/2019,10855,Petrol,56.346218,25.144190,"Fujairah, UAE",43.752860,13.526220,"Hodeida, Yemen",P,20
153,5/28/2019,39510,Mazout,56.346218,25.144190,"Fujairah, UAE",45.035469,12.809800,"Aden, Yemen",K,2
154,5/28/2019,11726,Diesel,56.752079,24.325871,"Sohar, Oman",49.123680,14.543720,"Mukalla, Yemen",W,3
155,5/30/2019,27016,Petrol,56.346218,25.144190,"Fujairah, UAE",43.752860,13.526220,"Hodeida, Yemen",Z,9
156,6/3/2019,5657,Gas,,,,43.752860,13.526220,"Hodeida, Yemen",N,19
157,6/3/2019,30486,Diesel,55.302551,25.257111,"Al Hamriya, UAE",43.752860,13.526220,"Hodeida, Yemen",A,14
158,6/3/2019,15867,Diesel,56.346218,25.144190,"Fujairah, UAE",45.035469,12.809800,"Aden, Yemen",L,27
16,12/3/2018,13587,Diesel,,,,43.752860,13.526220,"Hodeida, Yemen",,29
16,12/3/2018,5095,Petrol,,,,43.752860,13.526220,"Hodeida, Yemen",,29
160,6/4/2019,7468,Petrol,56.752079,24.325871,"Sohar, Oman",43.752860,13.526220,"Hodeida, Yemen",T,24
160,6/4/2019,21487,Diesel,56.752079,24.325871,"Sohar, Oman",43.752860,13.526220,"Hodeida, Yemen",T,24
161,6/4/2019,2523,Diesel,55.420933,25.346254,"Sharjah, UAE",44.201960,15.361980,"Nishtun, Yemen",O,5
162,6/9/2019,7184,Mazout,56.346218,25.144190,"Fujairah, UAE",43.752860,13.526220,"Hodeida, Yemen",A,7
163,6/9/2019,9161,Diesel,55.302551,25.257111,"Al Hamriya, UAE",43.752860,13.526220,"Hodeida, Yemen",A,7
164,6/16/2019,2132,Diesel,56.752079,24.325871,"Sohar, Oman",49.123680,14.543720,"Mukalla, Yemen",W,3
165,6/14/2019,10948,Diesel,55.302551,25.257111,"Al Hamriya, UAE",43.752860,13.526220,"Hodeida, Yemen",A,14
165,6/14/2019,10015,Petrol,55.302551,25.257111,"Al Hamriya, UAE",43.752860,13.526220,"Hodeida, Yemen",A,14
166,6/18/2019,23970,Petrol,56.752079,24.325871,"Sohar, Oman",43.752860,13.526220,"Hodeida, Yemen",T,24
167,6/20/2019,4485,Diesel,55.302551,25.257111,"Al Hamriya, UAE",43.752860,13.526220,"Hodeida, Yemen",Y,28
169,6/20/2019,4800,Gas,28.606060,44.232460,"Midia, Romania",43.752860,13.526220,"Hodeida, Yemen",Q,19
17,12/4/2018,3538,Petrol,,,,44.201960,15.361980,"Nishtun, Yemen",,29
170,6/20/2019,2150,Diesel,55.420933,25.346254,"Sharjah, UAE",49.123680,14.543720,"Mukalla, Yemen",O,5
171,6/20/2019,2762,Diesel,55.420933,25.346254,"Sharjah, UAE",44.201960,15.361980,"Nishtun, Yemen",J,29
172,6/20/2019,9800,Petrol,48.082729,29.172529,"Jabel Ali, UAE",49.123680,14.543720,"Mukalla, Yemen",A,3
173,6/22/2019,43132,Diesel,55.302551,25.257111,"Al Hamriya, UAE",45.035469,12.809800,"Aden, Yemen",U,2
174,6/27/2019,29291,Diesel,56.346218,25.144190,"Fujairah, UAE",43.752860,13.526220,"Hodeida, Yemen",P,20
175,6/27/2019,20855,Diesel,56.346218,25.144190,"Fujairah, UAE",45.035469,12.809800,"Aden, Yemen",K,2
175,6/27/2019,2994,Aircraft fuel,56.346218,25.144190,"Fujairah, UAE",45.035469,12.809800,"Aden, Yemen",K,2
176,7/10/2019,27000,Diesel,55.302551,25.257111,"Al Hamriya, UAE",43.752860,13.526220,"Hodeida, Yemen",S,9
177,6/27/2019,9000,Diesel,55.420933,25.346254,"Sharjah, UAE",49.123680,14.543720,"Mukalla, Yemen",W,3
178,7/7/2019,9912,Petrol,56.346218,25.144190,"Fujairah, UAE",49.123680,14.543720,"Mukalla, Yemen",Z,16
179,7/7/2019,3853,Gas,9.010480,39.068460,"Sarroch, Italy",43.752860,13.526220,"Hodeida, Yemen",H,8
18,12/5/2018,3396,Diesel,,,,49.123680,14.543720,"Mukalla, Yemen",,3
