application_num,decision_date,offloading_port_cleaned_EN,loading_port_cleaned_EN,fuel_amount_clean,fuel_type_clean_EN,lon,lat,Origin,dest_lat,dest_lon,Destination,exporter_proxy,importer_proxy
165,6/14/2019,Hodeida,"Al Hamriya, UAE",10015,Petrol,55.503616,25.464044,"Al Hamriya, UAE",14.7909118,42.9708838,Hodeida,B,14
164,6/16/2019,Mukalla,"Sohar, Oman",2132,Diesel,56.613922,24.486524,"Sohar, Oman",14.5404328,49.127197,Mukalla,Y,3
163,6/9/2019,Hodeida,"Al Hamriya, UAE",9161,Diesel,55.503616,25.464044,"Al Hamriya, UAE",14.7909118,42.9708838,Hodeida,B,7
162,6/9/2019,Hodeida,"Fujairah, UAE",7184,Mazout,56.343384,25.130988,"Fujairah, UAE",14.7909118,42.9708838,Hodeida,B,7
161,6/4/2019,Nishtun,"Sharjah, UAE",2523,Diesel,55.3776082,25.3609963,"Sharjah, UAE",15.8224426,52.1872488,Nishtun,R,5
160,6/4/2019,Hodeida,"Sohar, Oman",7468,Petrol,56.613922,24.486524,"Sohar, Oman",14.7909118,42.9708838,Hodeida,V,25
160,6/4/2019,Hodeida,"Sohar, Oman",21487,Diesel,56.613922,24.486524,"Sohar, Oman",14.7909118,42.9708838,Hodeida,V,25
16,12/3/2018,Hodeida,,13587,Diesel,,,,14.7909118,42.9708838,Hodeida,,29
16,12/3/2018,Hodeida,,5095,Petrol,,,,14.7909118,42.9708838,Hodeida,,29
158,6/3/2019,Aden,"Fujairah, UAE",15867,Diesel,56.343384,25.130988,"Fujairah, UAE",12.7854969,45.0186548,Aden,Q,27
157,6/3/2019,Hodeida,"Al Hamriya, UAE",30486,Diesel,55.503616,25.464044,"Al Hamriya, UAE",14.7909118,42.9708838,Hodeida,B,14
156,6/3/2019,Hodeida,,5657,Gas,,,,14.7909118,42.9708838,Hodeida,P,20
155,5/30/2019,Hodeida,"Fujairah, UAE",27016,Petrol,56.343384,25.130988,"Fujairah, UAE",14.7909118,42.9708838,Hodeida,AC,9
154,5/28/2019,Mukalla,"Sohar, Oman",11726,Diesel,56.613922,24.486524,"Sohar, Oman",14.5404328,49.127197,Mukalla,Y,3
153,5/28/2019,Aden,"Fujairah, UAE",39510,Mazout,56.343384,25.130988,"Fujairah, UAE",12.7854969,45.0186548,Aden,M,2
152,5/27/2019,Hodeida,"Fujairah, UAE",9968,Diesel,56.343384,25.130988,"Fujairah, UAE",14.7909118,42.9708838,Hodeida,S,21
152,5/27/2019,Hodeida,"Fujairah, UAE",10855,Petrol,56.343384,25.130988,"Fujairah, UAE",14.7909118,42.9708838,Hodeida,S,21
151,5/26/2019,Hodeida,"Sharjah, UAE",29370,Diesel,55.3776082,25.3609963,"Sharjah, UAE",14.7909118,42.9708838,Hodeida,V,25
150,5/24/2019,Hodeida,"Al Hamriya, UAE",27580,Petrol,55.503616,25.464044,"Al Hamriya, UAE",14.7909118,42.9708838,Hodeida,G,11
15,11/30/2018,Mukalla,,9967,Diesel,,,,14.5404328,49.127197,Mukalla,,3
149,5/23/2019,Hodeida,"Fujairah, UAE",7001,Mazout,56.343384,25.130988,"Fujairah, UAE",14.7909118,42.9708838,Hodeida,B,7
148,5/23/2019,Mukalla,"Fujairah, UAE",9715,Petrol,56.343384,25.130988,"Fujairah, UAE",14.5404328,49.127197,Mukalla,X,3
147,5/21/2019,Aden,"Al Hamriya, UAE",42991,Diesel,55.503616,25.464044,"Al Hamriya, UAE",12.7854969,45.0186548,Aden,M,2
146,5/21/2019,Nishtun,"Sohar, Oman",4761,Petrol,56.613922,24.486524,"Sohar, Oman",15.8224426,52.1872488,Nishtun,L,29
145,5/19/2019,Nishtun,"Sharjah, UAE",2150,Diesel,55.3776082,25.3609963,"Sharjah, UAE",15.8224426,52.1872488,Nishtun,R,5
144,5/18/2019,Nishtun,"Sharjah, UAE",2300,Diesel,55.3776082,25.3609963,"Sharjah, UAE",15.8224426,52.1872488,Nishtun,R,5
143,5/18/2019,Aden,"Sohar, Oman",57493,Petrol,56.613922,24.486524,"Sohar, Oman",12.7854969,45.0186548,Aden,M,2
142,5/17/2019,Aden,,42369,Diesel,,,,12.7854969,45.0186548,Aden,M,2
141,5/15/2019,Nishtun,"Sharjah, UAE",3951,Diesel,55.3776082,25.3609963,"Sharjah, UAE",15.8224426,52.1872488,Nishtun,L,29
140,5/15/2019,Mukalla,"Sharjah, UAE",3272,Diesel,55.3776082,25.3609963,"Sharjah, UAE",14.5404328,49.127197,Mukalla,D,33
14,11/25/2018,Hodeida,,24101,Petrol,,,,14.7909118,42.9708838,Hodeida,,25
139,5/15/2019,Mukalla,"Sharjah, UAE",4150,Mazout,55.3776082,25.3609963,"Sharjah, UAE",14.5404328,49.127197,Mukalla,D,33
138,5/15/2019,Hodeida,"Sohar, Oman",15028,Petrol,56.613922,24.486524,"Sohar, Oman",14.7909118,42.9708838,Hodeida,V,25
137,5/9/2019,Mukalla,"Fujairah, UAE",9207,Diesel,56.343384,25.130988,"Fujairah, UAE",14.5404328,49.127197,Mukalla,Q,27
135,5/6/2019,Nishtun,"Sharjah, UAE",2000,Diesel,55.3776082,25.3609963,"Sharjah, UAE",15.8224426,52.1872488,Nishtun,R,5
134,5/6/2019,Nishtun,"Sohar, Oman",2500,Diesel,56.613922,24.486524,"Sohar, Oman",15.8224426,52.1872488,Nishtun,R,5
133,5/10/2019,Hodeida,"Fujairah, UAE",11505,Diesel,56.343384,25.130988,"Fujairah, UAE",14.7909118,42.9708838,Hodeida,B,7
132,5/2/2019,Aden,"Novorossiysk, Russia",33993,Diesel,37.7619669,44.7154014,"Novorossiysk, Russia",12.7854969,45.0186548,Aden,M,2
